<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/Geotrend/bert-base-da-cased'>Geotrend/bert-base-da-cased</a>,🔍,2.94@@2.94,103822082.0,23150.0,512.0,✓,✗,34.81 ± 1.79 / 54.59 ± 1.41@@34.81,73.81 ± 0.85 / 75.02 ± 0.89@@73.81,6.23 ± 2.63 / 45.40 ± 3.87@@6.23,42.39 ± 1.52 / 10.57 ± 1.12@@42.39,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,2.97@@2.97,394781696.0,50368.0,8192.0,✓,✗,38.95 ± 3.60 / 56.94 ± 3.39@@38.95,47.29 ± 4.75 / 49.22 ± 4.82@@47.29,23.64 ± 7.80 / 59.93 ± 3.72@@23.64,35.91 ± 2.98 / 15.20 ± 2.38@@35.91,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.98@@2.98,8030326784.0,128264.0,131072.0,✓,✗,25.94 ± 3.02 / 45.63 ± 3.36@@25.94,49.46 ± 2.17 / 36.83 ± 2.98@@49.46,8.35 ± 2.09 / 42.74 ± 1.28@@8.35,60.51 ± 1.74 / 32.52 ± 1.48@@60.51,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B</a>,📝,2.98@@2.98,8030326784.0,128264.0,131072.0,✓,✗,41.02 ± 1.24 / 59.51 ± 1.02@@41.02,45.62 ± 2.18 / 30.94 ± 2.43@@45.62,5.04 ± 1.60 / 37.07 ± 1.33@@5.04,56.08 ± 1.16 / 26.26 ± 1.56@@56.08,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://hf.co/google/gemma-2-9b'>google/gemma-2-9b</a>,🧠,2.98@@2.98,9241705984.0,256000.0,8192.0,✓,✗,45.56 ± 2.57 / 61.38 ± 1.87@@45.56,26.67 ± 4.68 / 22.17 ± 1.81@@26.67,10.00 ± 3.41 / 42.25 ± 4.53@@10.00,58.42 ± 2.11 / 32.34 ± 1.59@@58.42,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,2.98@@2.98,108641793536.0,200000.0,?,✓,✗,42.96 ± 1.97 / 58.61 ± 2.14@@42.96,63.90 ± 1.47 / 56.23 ± 3.31@@63.90,10.23 ± 4.59 / 44.23 ± 5.69@@10.23,34.26 ± 4.08 / 0.69 ± 0.28@@34.26,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,2.98@@2.98,27432406640.0,262144.0,?,✓,✗,42.86 ± 0.94 / 54.41 ± 0.69@@42.86,35.18 ± 0.69 / 16.87 ± 0.39@@35.18,22.75 ± 1.58 / 57.79 ± 0.91@@22.75,42.68 ± 0.62 / 18.99 ± 0.77@@42.68,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/Geotrend/bert-base-25lang-cased'>Geotrend/bert-base-25lang-cased</a>,🔍,2.98@@2.98,151311362.0,84985.0,512.0,✓,✗,34.09 ± 2.29 / 54.15 ± 1.21@@34.09,74.65 ± 1.65 / 75.83 ± 1.41@@74.65,2.89 ± 3.00 / 44.63 ± 4.01@@2.89,41.76 ± 1.89 / 9.29 ± 0.66@@41.76,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.99@@2.99,8030261248.0,128256.0,131072.0,✓,✗,37.00 ± 2.28 / 53.01 ± 2.83@@37.00,51.86 ± 2.45 / 28.28 ± 3.71@@51.86,13.55 ± 1.10 / 48.88 ± 1.96@@13.55,43.02 ± 3.95 / 3.54 ± 1.09@@43.02,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,2.99@@2.99,279080594.0,250002.0,512.0,✓,✗,40.22 ± 1.03 / 58.56 ± 1.02@@40.22,70.38 ± 1.44 / 72.00 ± 1.13@@70.38,11.09 ± 6.94 / 51.60 ± 5.19@@11.09,30.52 ± 0.52 / 7.67 ± 0.74@@30.52,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://hf.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,2.99@@2.99,278045186.0,250002.0,512.0,✓,✗,46.33 ± 1.12 / 62.80 ± 1.39@@46.33,75.27 ± 1.18 / 76.85 ± 0.94@@75.27,3.47 ± 1.14 / 47.14 ± 3.33@@3.47,32.31 ± 0.81 / 7.67 ± 0.80@@32.31,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,3.00@@3.00,?,100256.0,272000.0,✓,✗,42.37 ± 2.43 / 57.33 ± 2.14@@42.37,39.11 ± 1.85 / 19.50 ± 1.02@@39.11,13.02 ± 2.81 / 45.39 ± 1.50@@13.02,47.61 ± 0.76 / 23.03 ± 1.29@@47.61,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,3.01@@3.01,27432406640.0,262144.0,8192.0,✓,✗,32.92 ± 0.84 / 40.86 ± 0.72@@32.92,53.70 ± 3.13 / 45.07 ± 3.22@@53.70,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,62.01 ± 1.96 / 35.57 ± 1.71@@62.01,16.5.0.dev0@@160500,15.6.1@@150601,16.5.0.dev0@@160500,15.6.1@@150601
<a href='https://hf.co/norallm/normistral-11b-thinking'>norallm/normistral-11b-thinking</a>,🤔,3.02@@3.02,11429893120.0,51200.0,1024000.0,✓,✗,35.46 ± 3.81 / 55.00 ± 2.26@@35.46,42.44 ± 1.11 / 29.13 ± 2.18@@42.44,18.97 ± 2.33 / 58.28 ± 0.71@@18.97,43.89 ± 1.31 / 18.54 ± 1.08@@43.89,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,3.02@@3.02,32233522176.0,100278.0,65536.0,✗,✗,21.04 ± 1.58 / 44.19 ± 1.23@@21.04,53.87 ± 2.58 / 32.33 ± 3.36@@53.87,11.97 ± 0.93 / 55.02 ± 0.71@@11.97,55.04 ± 1.26 / 24.79 ± 1.59@@55.04,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,3.02@@3.02,4022468096.0,151936.0,40960.0,✓,✗,36.78 ± 1.21 / 56.29 ± 1.12@@36.78,44.45 ± 2.75 / 27.95 ± 2.88@@44.45,12.73 ± 1.96 / 55.54 ± 1.20@@12.73,49.80 ± 1.88 / 23.50 ± 1.21@@49.80,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,3.02@@3.02,68976653312.0,32000.0,4096.0,✓,✗,31.97 ± 4.23 / 50.84 ± 4.50@@31.97,55.66 ± 2.51 / 47.93 ± 3.67@@55.66,0.00 ± 0.00 / 33.16 ± 0.38@@0.00,59.39 ± 1.37 / 31.50 ± 1.49@@59.39,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,3.03@@3.03,110468824832.0,151552.0,131072.0,✓,✗,49.37 ± 1.86 / 65.40 ± 1.33@@49.37,75.93 ± 1.50 / 62.17 ± 4.68@@75.93,1.75 ± 2.46 / 33.99 ± 0.53@@1.75,26.23 ± 1.33 / 0.00 ± 0.00@@26.23,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,3.05@@3.05,32233522176.0,100278.0,65536.0,✗,✗,22.09 ± 2.12 / 37.11 ± 1.07@@22.09,54.31 ± 2.84 / 35.46 ± 3.74@@54.31,10.92 ± 1.58 / 55.09 ± 0.81@@10.92,53.05 ± 2.58 / 25.68 ± 1.49@@53.05,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,3.05@@3.05,70599864480.0,131072.0,65536.0,✓,✗,34.77 ± 4.37 / 48.68 ± 5.33@@34.77,47.54 ± 2.82 / 37.56 ± 4.40@@47.54,0.00 ± 0.00 / 33.50 ± 0.37@@0.00,61.21 ± 2.38 / 34.48 ± 1.71@@61.21,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,3.05@@3.05,4022468096.0,151936.0,40960.0,✓,✗,36.32 ± 1.11 / 57.04 ± 0.72@@36.32,42.27 ± 2.86 / 25.84 ± 2.67@@42.27,12.89 ± 1.97 / 55.73 ± 1.11@@12.89,49.81 ± 1.87 / 23.50 ± 1.21@@49.81,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct</a>,📝,3.06@@3.06,46997647360.0,67993.0,32768.0,✓,✗,38.12 ± 1.81 / 54.60 ± 1.56@@38.12,41.84 ± 3.14 / 24.97 ± 2.44@@41.84,7.47 ± 1.59 / 45.34 ± 4.68@@7.47,52.61 ± 1.29 / 20.87 ± 2.65@@52.61,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,3.06@@3.06,12187325040.0,262144.0,8192.0,✓,✗,28.69 ± 2.02 / 39.47 ± 1.26@@28.69,54.58 ± 1.63 / 48.81 ± 3.86@@54.58,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,61.39 ± 2.22 / 35.81 ± 1.52@@61.39,16.5.0.dev0@@160500,15.5.0@@150500,16.5.0.dev0@@160500,15.5.0@@150500
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B</a>,🧠,3.06@@3.06,33119034368.0,131072.0,4096.0,✓,✗,36.73 ± 3.71 / 50.91 ± 5.20@@36.73,43.71 ± 2.46 / 31.51 ± 2.84@@43.71,6.95 ± 2.70 / 39.47 ± 4.17@@6.95,54.10 ± 2.05 / 28.72 ± 2.16@@54.10,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/microsoft/infoxlm-base'>microsoft/infoxlm-base</a>,🔍,3.07@@3.07,278045186.0,250002.0,512.0,✓,✗,33.14 ± 4.05 / 51.83 ± 3.29@@33.14,77.09 ± 2.00 / 78.38 ± 1.60@@77.09,1.71 ± 3.02 / 42.83 ± 4.18@@1.71,37.41 ± 5.69 / 8.56 ± 1.96@@37.41,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,3.07@@3.07,10731524096.0,32000.0,4096.0,✓,✗,18.23 ± 7.45 / 38.11 ± 5.81@@18.23,61.42 ± 2.78 / 52.78 ± 3.42@@61.42,7.50 ± 1.38 / 44.38 ± 3.21@@7.50,56.49 ± 1.46 / 29.34 ± 2.59@@56.49,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,3.07@@3.07,21948655808.0,103424.0,131072.0,✓,✗,33.48 ± 2.05 / 50.38 ± 2.93@@33.48,47.45 ± 1.51 / 29.83 ± 3.31@@47.45,5.56 ± 3.32 / 41.76 ± 4.53@@5.56,51.79 ± 2.63 / 28.40 ± 1.47@@51.79,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,3.07@@3.07,278295186.0,250002.0,512.0,✓,✗,39.97 ± 1.33 / 56.97 ± 1.83@@39.97,72.36 ± 1.50 / 73.68 ± 1.47@@72.36,4.35 ± 2.91 / 43.03 ± 4.49@@4.35,31.51 ± 0.79 / 6.47 ± 0.97@@31.51,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M</a>,📝,3.07@@3.07,4299915632.0,262144.0,128000.0,✓,✗,38.35 ± 1.13 / 57.37 ± 0.94@@38.35,47.95 ± 1.88 / 35.61 ± 3.17@@47.95,12.45 ± 1.66 / 55.90 ± 0.84@@12.45,42.62 ± 1.77 / 15.09 ± 1.10@@42.62,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,3.08@@3.08,32233522176.0,100278.0,65536.0,✗,✗,20.84 ± 2.17 / 43.01 ± 2.23@@20.84,59.26 ± 2.89 / 41.78 ± 4.38@@59.26,10.27 ± 1.83 / 49.59 ± 1.87@@10.27,51.75 ± 2.72 / 27.17 ± 2.01@@51.75,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,3.08@@3.08,3191396096.0,100352.0,131072.0,✓,✗,32.64 ± 1.69 / 52.97 ± 1.69@@32.64,53.28 ± 1.57 / 36.90 ± 4.97@@53.28,4.80 ± 1.80 / 46.13 ± 3.70@@4.80,51.14 ± 2.04 / 25.42 ± 1.84@@51.14,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,3.10@@3.10,4022468096.0,151936.0,262144.0,✓,✗,31.76 ± 1.80 / 53.78 ± 1.21@@31.76,39.72 ± 2.73 / 19.62 ± 2.08@@39.72,12.12 ± 1.29 / 52.58 ± 1.68@@12.12,53.03 ± 1.39 / 26.42 ± 0.88@@53.03,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,3.10@@3.10,4022468096.0,151936.0,262144.0,✗,✗,24.37 ± 1.57 / 44.28 ± 2.17@@24.37,49.89 ± 2.14 / 36.72 ± 3.09@@49.89,6.23 ± 1.44 / 48.32 ± 1.34@@6.23,55.95 ± 1.32 / 27.24 ± 1.42@@55.95,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,3.13@@3.13,8190735360.0,151936.0,131072.0,✓,✗,33.18 ± 2.64 / 54.84 ± 1.71@@33.18,45.76 ± 2.39 / 24.58 ± 1.70@@45.76,9.22 ± 2.32 / 51.02 ± 1.68@@9.22,46.59 ± 1.48 / 20.99 ± 1.39@@46.59,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,3.13@@3.13,140642306.0,256000.0,8192.0,✓,✗,32.39 ± 2.52 / 51.75 ± 2.76@@32.39,65.27 ± 2.41 / 65.74 ± 2.43@@65.27,16.70 ± 4.39 / 57.44 ± 2.67@@16.70,26.29 ± 1.24 / 9.17 ± 0.47@@26.29,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,3.13@@3.13,8030261248.0,128256.0,131072.0,✓,✗,25.16 ± 1.96 / 38.11 ± 1.05@@25.16,52.25 ± 1.35 / 37.72 ± 4.69@@52.25,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,60.14 ± 1.49 / 31.72 ± 2.62@@60.14,16.5.0.dev0@@160500,15.0.0@@150000,16.5.0.dev0@@160500,14.3.0@@140300
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,3.13@@3.13,8829407232.0,64000.0,4096.0,✓,✗,32.12 ± 2.44 / 51.81 ± 2.75@@32.12,45.61 ± 1.55 / 34.32 ± 3.60@@45.61,5.32 ± 1.97 / 48.85 ± 3.01@@5.32,53.45 ± 2.09 / 24.61 ± 2.38@@53.45,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,3.14@@3.14,11168796672.0,32128.0,32768.0,✓,✓,27.63 ± 3.22 / 47.62 ± 2.62@@27.63,51.72 ± 2.08 / 41.54 ± 4.52@@51.72,5.24 ± 1.75 / 49.81 ± 2.22@@5.24,52.02 ± 1.60 / 23.69 ± 2.24@@52.02,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,3.14@@3.14,21511953984.0,201088.0,131072.0,✓,✗,9.97 ± 8.28 / 32.63 ± 7.44@@9.97,61.43 ± 2.87 / 47.53 ± 4.11@@61.43,20.08 ± 1.68 / 49.20 ± 1.02@@20.08,43.22 ± 0.73 / 15.48 ± 1.03@@43.22,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,3.15@@3.15,8019808256.0,131072.0,32768.0,✓,✗,25.79 ± 2.81 / 41.08 ± 3.26@@25.79,47.10 ± 1.90 / 22.63 ± 2.03@@47.10,7.19 ± 2.76 / 44.62 ± 3.61@@7.19,54.38 ± 2.28 / 28.73 ± 1.45@@54.38,15.0.0@@150000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,3.16@@3.16,7799574528.0,100096.0,4096.0,✓,✗,33.95 ± 2.62 / 46.88 ± 3.33@@33.95,36.08 ± 2.61 / 33.30 ± 2.34@@36.08,6.12 ± 2.17 / 49.93 ± 2.45@@6.12,53.26 ± 1.27 / 27.46 ± 1.76@@53.26,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.1.0@@150100,15.1.0@@150100
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,3.16@@3.16,5439438272.0,262400.0,8192.0,✓,✗,36.96 ± 3.44 / 53.86 ± 3.33@@36.96,45.12 ± 1.50 / 25.06 ± 2.03@@45.12,5.22 ± 1.76 / 35.49 ± 0.87@@5.22,47.30 ± 1.66 / 19.90 ± 1.33@@47.30,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,3.16@@3.16,21511953984.0,201088.0,131072.0,✓,✗,30.43 ± 5.56 / 51.72 ± 3.80@@30.43,50.87 ± 1.47 / 42.57 ± 1.65@@50.87,14.45 ± 2.44 / 55.37 ± 1.21@@14.45,39.52 ± 0.47 / 22.45 ± 0.42@@39.52,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta</a>,📝,3.17@@3.17,7241748480.0,32002.0,4096.0,✗,✗,27.93 ± 2.80 / 48.93 ± 1.43@@27.93,42.23 ± 4.22 / 25.96 ± 4.27@@42.23,6.38 ± 0.99 / 49.63 ± 1.47@@6.38,53.90 ± 1.60 / 19.41 ± 3.40@@53.90,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.3.0@@140300
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,3.17@@3.17,32234279936.0,100352.0,4096.0,✗,✗,43.99 ± 2.11 / 61.56 ± 1.78@@43.99,48.56 ± 1.37 / 21.88 ± 0.99@@48.56,16.37 ± 1.07 / 57.61 ± 0.68@@16.37,26.38 ± 1.95 / 0.00 ± 0.00@@26.38,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,3.17@@3.17,51570323328.0,65536.0,262144.0,✓,✗,28.98 ± 6.08 / 44.08 ± 6.83@@28.98,46.38 ± 2.39 / 26.78 ± 2.03@@46.38,1.64 ± 2.60 / 34.98 ± 2.23@@1.64,55.84 ± 1.44 / 28.77 ± 1.96@@55.84,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2</a>,🧠,3.18@@3.18,7241732096.0,32000.0,4096.0,✗,✗,21.65 ± 4.88 / 41.03 ± 4.42@@21.65,57.53 ± 1.70 / 48.97 ± 3.34@@57.53,3.83 ± 1.35 / 50.07 ± 1.92@@3.83,54.65 ± 1.00 / 21.47 ± 2.47@@54.65,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,3.18@@3.18,3402836480.0,100352.0,131072.0,✓,✗,29.27 ± 2.10 / 42.81 ± 3.15@@29.27,46.30 ± 1.85 / 30.30 ± 2.95@@46.30,10.87 ± 2.18 / 52.57 ± 2.46@@10.87,44.32 ± 3.82 / 18.68 ± 3.17@@44.32,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,3.18@@3.18,32763876352.0,152064.0,131072.0,✓,✗,23.62 ± 4.95 / 46.61 ± 4.61@@23.62,52.78 ± 8.65 / 39.10 ± 5.69@@52.78,10.10 ± 1.17 / 52.19 ± 1.53@@10.10,46.34 ± 1.25 / 21.12 ± 1.47@@46.34,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/ltg/norbert3-large'>ltg/norbert3-large</a>,🔍,3.19@@3.19,354406402.0,50000.0,512.0,✓,✗,34.74 ± 1.54 / 51.49 ± 3.16@@34.74,59.85 ± 1.71 / 61.70 ± 1.75@@59.85,0.32 ± 1.66 / 41.60 ± 3.50@@0.32,42.65 ± 2.53 / 21.07 ± 1.55@@42.65,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900
<a href='https://hf.co/NbAiLab/nb-roberta-base-scandinavian'>NbAiLab/nb-roberta-base-scandinavian</a>,🔍,3.20@@3.20,124697947.0,50265.0,512.0,✓,✗,35.21 ± 1.32 / 53.92 ± 1.75@@35.21,69.04 ± 1.65 / 71.18 ± 1.15@@69.04,3.34 ± 1.87 / 44.43 ± 4.20@@3.34,30.71 ± 1.15 / 7.17 ± 0.77@@30.71,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/norallm/normistral-11b-long'>norallm/normistral-11b-long</a>,🧠,3.20@@3.20,11429893120.0,51200.0,32768.0,✓,✗,26.39 ± 1.94 / 38.57 ± 0.96@@26.39,48.11 ± 3.24 / 40.43 ± 3.32@@48.11,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,59.60 ± 1.95 / 33.10 ± 2.47@@59.60,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,3.22@@3.22,34980831232.0,256000.0,8192.0,✗,✗,38.87 ± 2.06 / 54.76 ± 1.96@@38.87,42.29 ± 2.87 / 27.16 ± 2.06@@42.29,0.28 ± 1.28 / 44.15 ± 2.34@@0.28,49.89 ± 1.52 / 18.74 ± 3.19@@49.89,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
