<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.98@@1.98,5.04,30532122624.0,151936.0,262144.0,✓,✗,92.41 ± 0.55 / 96.18 ± 0.28@@92.41,52.22 ± 2.29 / 30.09 ± 1.94@@52.22,34.29 ± 1.04 / 67.04 ± 0.51@@34.29,64.47 ± 0.87 / 46.43 ± 1.28@@64.47,30.50 ± 0.11 / 34.05 ± 0.09@@30.50,51.07 ± 0.71 / 63.36 ± 0.56@@51.07,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,15.16.0.dev0@@151600
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.99@@1.99,?,?,?,200000.0,✓,✗,89.23 ± 1.39 / 94.43 ± 0.72@@89.23,49.98 ± 2.13 / 29.82 ± 1.72@@49.98,29.48 ± 4.01 / 64.10 ± 1.88@@29.48,61.72 ± 0.92 / 37.00 ± 1.33@@61.72,30.83 ± 0.18 / 34.50 ± 0.17@@30.83,67.27 ± 1.71 / 75.51 ± 1.29@@67.27,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.01@@2.01,N/A,13945031680.0,131072.0,8192.0,✓,✗,91.34 ± 0.62 / 95.61 ± 0.31@@91.34,58.41 ± 1.59 / 50.68 ± 1.85@@58.41,28.33 ± 3.81 / 56.08 ± 2.92@@28.33,78.61 ± 1.00 / 64.20 ± 1.50@@78.61,25.66 ± 0.78 / 26.71 ± 0.90@@25.66,47.64 ± 2.35 / 60.16 ± 1.75@@47.64,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.01@@2.01,16.72,14765947904.0,151665.0,131072.0,✓,✗,91.64 ± 0.52 / 95.80 ± 0.26@@91.64,64.06 ± 1.41 / 40.50 ± 2.34@@64.06,26.42 ± 1.95 / 62.48 ± 1.22@@26.42,66.33 ± 1.19 / 50.58 ± 1.37@@66.33,30.15 ± 0.14 / 32.34 ± 0.25@@30.15,41.97 ± 1.12 / 56.42 ± 0.84@@41.97,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,16.15.0.dev0@@161500,15.8.1.dev0@@150801
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.02@@2.02,0.52,30491811840.0,131072.0,262144.0,✓,✗,88.92 ± 0.96 / 94.32 ± 0.49@@88.92,70.01 ± 1.54 / 58.26 ± 1.64@@70.01,26.03 ± 2.40 / 55.44 ± 1.14@@26.03,63.46 ± 0.49 / 53.02 ± 0.48@@63.46,28.07 ± 0.24 / 32.51 ± 0.21@@28.07,45.41 ± 1.23 / 59.18 ± 0.92@@45.41,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.03@@2.03,N/A,8918026240.0,131072.0,8192.0,✓,✗,90.55 ± 0.62 / 95.18 ± 0.32@@90.55,57.35 ± 1.76 / 48.31 ± 1.65@@57.35,35.29 ± 1.66 / 65.37 ± 1.22@@35.29,77.99 ± 1.13 / 64.01 ± 1.31@@77.99,25.45 ± 0.78 / 26.64 ± 0.78@@25.45,37.81 ± 2.16 / 52.07 ± 1.77@@37.81,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.05@@2.05,N/A,12187325040.0,262144.0,8192.0,✓,✗,92.87 ± 0.78 / 96.40 ± 0.41@@92.87,55.73 ± 1.61 / 33.42 ± 3.23@@55.73,35.23 ± 4.03 / 64.84 ± 3.44@@35.23,74.35 ± 1.33 / 59.63 ± 1.44@@74.35,25.80 ± 0.81 / 26.01 ± 0.91@@25.80,39.15 ± 1.49 / 53.57 ± 1.17@@39.15,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.15.0.dev0@@161500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.05@@2.05,51.93,?,?,400000.0,✓,✗,89.23 ± 0.71 / 94.43 ± 0.37@@89.23,47.89 ± 0.70 / 26.02 ± 0.69@@47.89,42.18 ± 1.71 / 70.58 ± 0.82@@42.18,57.91 ± 0.37 / 34.29 ± 0.79@@57.91,29.28 ± 0.09 / 33.87 ± 0.10@@29.28,49.73 ± 1.41 / 62.50 ± 1.08@@49.73,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.09@@2.09,?,7415529472.0,131072.0,8192.0,✓,✗,89.78 ± 0.64 / 94.79 ± 0.34@@89.78,51.78 ± 0.67 / 31.75 ± 0.92@@51.78,26.28 ± 1.79 / 56.12 ± 1.81@@26.28,68.26 ± 0.65 / 53.64 ± 0.60@@68.26,30.68 ± 0.14 / 34.39 ± 0.12@@30.68,41.14 ± 1.11 / 55.66 ± 0.75@@41.14,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.11@@2.11,?,?,256128.0,1048576.0,✓,✗,90.07 ± 1.13 / 94.86 ± 0.60@@90.07,53.06 ± 1.97 / 23.60 ± 1.59@@53.06,24.93 ± 3.74 / 59.97 ± 1.90@@24.93,57.60 ± 0.54 / 37.26 ± 1.06@@57.60,30.67 ± 0.24 / 34.78 ± 0.26@@30.67,57.57 ± 2.44 / 67.89 ± 1.80@@57.57,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,16.15.0.dev0@@161500,15.13.0@@151300
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.12@@2.12,1.62,7849978192.0,262400.0,8192.0,✓,✗,91.35 ± 0.82 / 95.60 ± 0.43@@91.35,57.65 ± 1.12 / 31.58 ± 3.76@@57.65,17.49 ± 1.17 / 53.04 ± 1.64@@17.49,65.87 ± 0.66 / 44.87 ± 2.27@@65.87,30.98 ± 0.15 / 34.16 ± 0.13@@30.98,46.47 ± 0.90 / 59.66 ± 0.68@@46.47,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.13@@2.13,5.58,8190735360.0,151936.0,40960.0,✓,✗,89.80 ± 0.83 / 94.81 ± 0.45@@89.80,56.61 ± 1.46 / 35.31 ± 2.18@@56.61,29.34 ± 1.41 / 64.45 ± 0.75@@29.34,68.81 ± 1.07 / 53.86 ± 1.00@@68.81,29.85 ± 0.14 / 32.62 ± 0.23@@29.85,30.26 ± 1.39 / 47.31 ± 1.01@@30.26,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.14@@2.14,3.15,9241705984.0,256000.0,8192.0,✗,✗,90.47 ± 0.66 / 95.14 ± 0.34@@90.47,40.11 ± 2.41 / 26.52 ± 1.87@@40.11,27.65 ± 1.93 / 58.58 ± 1.36@@27.65,67.74 ± 0.66 / 51.61 ± 1.03@@67.74,31.22 ± 0.10 / 34.56 ± 0.12@@31.22,50.86 ± 1.75 / 63.24 ± 1.45@@50.86,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601
<a href='https://hf.co/mistralai/Ministral-3-8B-Reasoning-2512'>mistralai/Ministral-3-8B-Reasoning-2512</a>,🤔,2.14@@2.14,?,8918026240.0,131072.0,8192.0,✓,✗,90.22 ± 0.35 / 95.09 ± 0.18@@90.22,59.53 ± 0.89 / 34.18 ± 1.91@@59.53,13.84 ± 2.33 / 43.71 ± 2.66@@13.84,75.24 ± 0.80 / 59.59 ± 1.10@@75.24,29.21 ± 0.25 / 32.65 ± 0.19@@29.21,39.01 ± 1.40 / 53.85 ± 1.05@@39.01,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.18@@2.18,28.48,11168796672.0,32128.0,32768.0,✓,✓,87.53 ± 1.10 / 93.69 ± 0.55@@87.53,54.12 ± 1.48 / 36.75 ± 2.03@@54.12,16.84 ± 1.52 / 53.73 ± 1.27@@16.84,74.94 ± 0.65 / 55.04 ± 1.47@@74.94,30.36 ± 0.10 / 33.56 ± 0.12@@30.36,32.50 ± 1.70 / 49.92 ± 1.26@@32.50,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.18@@2.18,?,10152345600.0,201088.0,131072.0,✓,✗,90.63 ± 0.65 / 95.27 ± 0.34@@90.63,57.40 ± 2.15 / 38.68 ± 1.72@@57.40,29.89 ± 1.29 / 61.86 ± 0.77@@29.89,62.50 ± 0.44 / 45.99 ± 0.83@@62.50,27.40 ± 0.19 / 31.85 ± 0.23@@27.40,40.41 ± 1.44 / 55.27 ± 1.08@@40.41,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.19@@2.19,?,4022468096.0,151936.0,262144.0,✓,✗,89.30 ± 0.84 / 94.59 ± 0.43@@89.30,69.69 ± 1.98 / 45.55 ± 2.20@@69.69,15.45 ± 2.21 / 49.37 ± 1.95@@15.45,63.46 ± 2.08 / 48.21 ± 2.70@@63.46,29.27 ± 0.29 / 31.78 ± 0.54@@29.27,35.02 ± 1.22 / 51.24 ± 0.94@@35.02,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.16.1.dev0@@161601,16.14.0.dev0@@161400
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.19@@2.19,77.21,?,?,400000.0,✓,✗,86.78 ± 0.88 / 93.13 ± 0.46@@86.78,43.06 ± 0.94 / 21.85 ± 0.54@@43.06,36.14 ± 1.93 / 67.95 ± 0.97@@36.14,58.47 ± 0.37 / 37.62 ± 0.64@@58.47,29.03 ± 0.06 / 33.69 ± 0.05@@29.03,45.83 ± 1.36 / 59.41 ± 1.07@@45.83,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.20@@2.20,?,10152345600.0,201088.0,131072.0,✓,✗,89.81 ± 0.65 / 94.87 ± 0.34@@89.81,58.86 ± 2.14 / 40.82 ± 1.49@@58.86,25.44 ± 2.03 / 59.09 ± 1.31@@25.44,61.91 ± 0.50 / 46.41 ± 1.11@@61.91,27.92 ± 0.14 / 32.29 ± 0.15@@27.92,37.43 ± 1.24 / 52.88 ± 0.92@@37.43,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.20@@2.20,?,9653100528.0,248044.0,8192.0,✓,✗,88.92 ± 0.66 / 94.24 ± 0.35@@88.92,50.02 ± 3.05 / 43.90 ± 2.70@@50.02,28.16 ± 2.67 / 52.89 ± 1.54@@28.16,43.78 ± 1.36 / 34.07 ± 1.81@@43.78,26.71 ± 0.65 / 28.36 ± 0.78@@26.71,68.95 ± 1.25 / 76.37 ± 0.95@@68.95,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.24@@2.24,0.17,70599864640.0,131072.0,65536.0,✗,✗,92.75 ± 0.44 / 96.35 ± 0.22@@92.75,43.54 ± 1.50 / 19.06 ± 0.81@@43.54,21.46 ± 1.90 / 51.68 ± 2.17@@21.46,63.55 ± 1.12 / 45.52 ± 1.16@@63.55,30.85 ± 0.08 / 34.25 ± 0.08@@30.85,42.72 ± 0.73 / 56.45 ± 0.60@@42.72,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,<9.2.0@@0,15.16.0.dev0@@151600
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.26@@2.26,N/A,3849090048.0,131072.0,8192.0,✓,✗,89.68 ± 0.66 / 94.76 ± 0.34@@89.68,42.98 ± 0.78 / 33.75 ± 1.24@@42.98,34.57 ± 1.50 / 64.10 ± 1.55@@34.57,76.11 ± 0.62 / 62.45 ± 0.86@@76.11,25.48 ± 0.56 / 26.59 ± 0.47@@25.48,25.61 ± 1.72 / 44.65 ± 1.37@@25.61,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.29@@2.29,?,32233522176.0,100278.0,65536.0,✗,✗,90.05 ± 0.66 / 94.87 ± 0.35@@90.05,60.57 ± 2.00 / 51.17 ± 1.94@@60.57,13.63 ± 2.24 / 40.66 ± 1.62@@13.63,69.42 ± 0.80 / 57.07 ± 1.08@@69.42,25.76 ± 0.53 / 26.95 ± 0.60@@25.76,34.63 ± 1.12 / 50.66 ± 0.84@@34.63,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.38@@2.38,8.68,4022468096.0,151936.0,40960.0,✓,✗,89.23 ± 0.52 / 94.56 ± 0.26@@89.23,50.25 ± 1.49 / 24.89 ± 1.53@@50.25,18.42 ± 1.63 / 58.05 ± 0.87@@18.42,64.08 ± 0.73 / 50.24 ± 1.30@@64.08,29.69 ± 0.09 / 32.62 ± 0.14@@29.69,24.91 ± 0.82 / 43.51 ± 0.66@@24.91,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.39@@2.39,0.27,32233522176.0,100278.0,65536.0,✗,✗,92.14 ± 0.25 / 96.05 ± 0.13@@92.14,49.07 ± 1.02 / 30.23 ± 2.39@@49.07,19.57 ± 2.44 / 56.21 ± 1.86@@19.57,66.82 ± 0.98 / 47.21 ± 1.54@@66.82,28.50 ± 0.55 / 29.81 ± 0.74@@28.50,21.34 ± 1.06 / 40.86 ± 0.78@@21.34,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.40@@2.40,N/A,9152319488.0,128000.0,4096.0,✓,✗,90.01 ± 0.48 / 94.89 ± 0.27@@90.01,45.83 ± 1.97 / 29.04 ± 2.49@@45.83,20.02 ± 4.46 / 52.44 ± 5.80@@20.02,77.33 ± 0.80 / 61.14 ± 0.92@@77.33,24.90 ± 0.87 / 25.10 ± 0.98@@24.90,24.58 ± 1.01 / 42.56 ± 0.75@@24.58,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,16.15.0.dev0@@161500,15.10.0@@151000
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.41@@2.41,0.42,32233522176.0,100278.0,65536.0,✗,✗,92.08 ± 0.35 / 96.01 ± 0.18@@92.08,49.76 ± 1.24 / 31.29 ± 2.50@@49.76,18.10 ± 2.20 / 57.16 ± 1.38@@18.10,66.32 ± 1.95 / 49.09 ± 1.71@@66.32,28.33 ± 0.52 / 29.57 ± 0.76@@28.33,19.84 ± 0.96 / 39.77 ± 0.72@@19.84,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.45@@2.45,90.92,?,?,400000.0,✓,✗,85.56 ± 0.69 / 92.59 ± 0.35@@85.56,40.85 ± 1.53 / 16.44 ± 0.67@@40.85,15.86 ± 1.61 / 57.14 ± 0.83@@15.86,58.77 ± 0.42 / 39.83 ± 0.71@@58.77,29.18 ± 0.09 / 33.73 ± 0.09@@29.18,45.28 ± 1.55 / 59.30 ± 1.21@@45.28,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.46@@2.46,?,?,?,?,✓,✗,88.21 ± 0.74 / 93.99 ± 0.40@@88.21,36.69 ± 1.70 / 18.25 ± 0.72@@36.69,18.58 ± 1.97 / 58.02 ± 1.21@@18.58,68.50 ± 0.68 / 52.58 ± 0.58@@68.50,28.73 ± 0.07 / 32.66 ± 0.09@@28.73,32.17 ± 1.19 / 48.97 ± 0.92@@32.17,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.46@@2.46,1.03,4022468096.0,151936.0,262144.0,✗,✗,88.12 ± 0.72 / 93.90 ± 0.39@@88.12,53.88 ± 2.17 / 37.83 ± 3.06@@53.88,8.39 ± 1.84 / 53.42 ± 0.99@@8.39,67.71 ± 1.40 / 50.08 ± 1.88@@67.71,28.72 ± 0.42 / 31.16 ± 0.71@@28.72,25.29 ± 1.08 / 43.52 ± 0.65@@25.29,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.47@@2.47,?,10152345600.0,201088.0,131072.0,✓,✗,90.47 ± 0.86 / 95.16 ± 0.45@@90.47,48.10 ± 2.47 / 35.69 ± 1.67@@48.10,21.53 ± 1.80 / 53.28 ± 1.09@@21.53,59.95 ± 0.43 / 45.39 ± 0.50@@59.95,24.72 ± 0.33 / 28.32 ± 0.40@@24.72,36.79 ± 1.46 / 51.94 ± 1.17@@36.79,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.15.0.dev0@@161500,16.12.0.dev0@@161200
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.49@@2.49,?,?,?,?,✓,✗,89.95 ± 0.74 / 94.92 ± 0.38@@89.95,39.48 ± 2.00 / 21.21 ± 0.96@@39.48,17.03 ± 2.66 / 52.62 ± 3.67@@17.03,58.54 ± 0.90 / 44.30 ± 1.32@@58.54,28.49 ± 0.05 / 32.46 ± 0.06@@28.49,36.82 ± 1.14 / 52.42 ± 0.88@@36.82,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.49@@2.49,N/A,8030261248.0,128256.0,131072.0,✓,✗,92.40 ± 0.40 / 96.19 ± 0.20@@92.40,56.09 ± 1.59 / 31.56 ± 2.52@@56.09,13.21 ± 3.27 / 50.85 ± 5.46@@13.21,74.07 ± 1.51 / 56.96 ± 2.08@@74.07,23.83 ± 1.48 / 24.77 ± 1.79@@23.83,13.05 ± 1.37 / 34.41 ± 1.09@@13.05,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.15.0.dev0@@161500,16.5.0.dev0@@160500
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.51@@2.51,14.0,3349227520.0,262144.0,500000.0,✗,✗,90.52 ± 1.19 / 95.22 ± 0.59@@90.52,42.15 ± 1.71 / 27.09 ± 1.16@@42.15,5.95 ± 2.19 / 44.07 ± 1.97@@5.95,66.92 ± 0.96 / 53.15 ± 1.01@@66.92,30.34 ± 0.09 / 33.00 ± 0.12@@30.34,25.55 ± 4.16 / 43.75 ± 3.00@@25.55,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.51@@2.51,6.02,3349227520.0,262144.0,500000.0,✗,✗,90.37 ± 1.05 / 95.14 ± 0.53@@90.37,41.60 ± 1.98 / 27.76 ± 1.21@@41.60,5.37 ± 3.46 / 42.79 ± 2.32@@5.37,67.00 ± 0.85 / 52.98 ± 1.16@@67.00,30.53 ± 0.12 / 33.33 ± 0.17@@30.53,27.64 ± 3.68 / 45.16 ± 2.74@@27.64,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.51@@2.51,0.13,8030261248.0,128256.0,131072.0,✓,✗,91.68 ± 0.63 / 95.83 ± 0.32@@91.68,50.68 ± 1.35 / 32.46 ± 1.52@@50.68,13.17 ± 2.63 / 54.94 ± 1.67@@13.17,64.17 ± 1.20 / 43.07 ± 1.51@@64.17,27.79 ± 0.77 / 28.46 ± 0.91@@27.79,18.52 ± 1.12 / 38.51 ± 0.84@@18.52,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,16.15.0.dev0@@161500,15.9.2.dev0@@150902
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.55@@2.55,N/A,3349227520.0,262144.0,500000.0,✗,✗,89.78 ± 1.93 / 94.79 ± 0.97@@89.78,39.12 ± 3.61 / 33.41 ± 3.66@@39.12,12.17 ± 3.18 / 50.36 ± 2.63@@12.17,76.83 ± 1.64 / 63.48 ± 1.99@@76.83,27.67 ± 0.66 / 29.11 ± 0.86@@27.67,13.63 ± 3.37 / 33.98 ± 2.49@@13.63,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.56@@2.56,N/A,22637328384.0,128000.0,32768.0,✓,✗,91.75 ± 0.78 / 95.81 ± 0.40@@91.75,48.73 ± 1.52 / 29.41 ± 2.77@@48.73,2.29 ± 4.02 / 34.73 ± 2.72@@2.29,75.86 ± 1.26 / 60.27 ± 1.24@@75.86,25.43 ± 0.77 / 25.82 ± 0.84@@25.43,23.45 ± 2.28 / 40.63 ± 1.87@@23.45,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.57@@2.57,N/A,32233522176.0,100278.0,65536.0,✓,✗,90.24 ± 0.71 / 95.04 ± 0.37@@90.24,56.80 ± 1.66 / 41.53 ± 3.28@@56.80,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,75.42 ± 0.78 / 54.75 ± 1.62@@75.42,24.68 ± 0.51 / 24.85 ± 0.57@@24.68,23.02 ± 1.23 / 41.44 ± 1.10@@23.02,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800
