<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.27@@2.27,0.29,12187325040.0,262144.0,?,✓,✗,63.17 ± 0.93 / 73.20 ± 0.56@@63.17,51.33 ± 1.65 / 28.36 ± 1.61@@51.33,39.08 ± 1.39 / 68.07 ± 1.41@@39.08,63.22 ± 1.10 / 38.58 ± 1.97@@63.22,32.17 ± 0.13 / 35.22 ± 0.15@@32.17,8.10 ± 1.67 / 30.96 ± 1.13@@8.10,43.59 ± 1.00 / 71.72 ± 0.50@@43.59,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.0.1.dev0@@160001,15.16.0.dev0@@151600
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.29@@2.29,N/A,24011361280.0,131072.0,8192.0,✓,✗,54.77 ± 2.70 / 66.38 ± 1.90@@54.77,54.97 ± 2.35 / 43.30 ± 2.85@@54.97,23.83 ± 2.68 / 51.14 ± 2.64@@23.83,74.58 ± 1.45 / 54.87 ± 2.56@@74.58,27.99 ± 2.83 / 30.05 ± 3.30@@27.99,17.61 ± 2.28 / 38.20 ± 1.70@@17.61,44.58 ± 1.73 / 72.01 ± 1.02@@44.58,16.5.0.dev0@@160500,16.0.1.dev0@@160001,16.5.0.dev0@@160500,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,2.30@@2.30,0.18,72706203648.0,152064.0,32768.0,✗,✗,58.47 ± 2.59 / 68.54 ± 1.83@@58.47,49.48 ± 3.96 / 35.66 ± 2.73@@49.48,22.56 ± 2.53 / 60.67 ± 1.39@@22.56,71.88 ± 1.56 / 45.10 ± 2.23@@71.88,30.93 ± 0.18 / 33.87 ± 0.17@@30.93,14.26 ± 5.18 / 35.17 ± 4.42@@14.26,50.08 ± 2.31 / 74.88 ± 1.13@@50.08,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.30@@2.30,0.02,70599864480.0,131072.0,65536.0,✗,✗,52.68 ± 1.62 / 65.11 ± 1.49@@52.68,45.77 ± 1.65 / 21.74 ± 1.14@@45.77,40.19 ± 1.82 / 63.98 ± 1.63@@40.19,63.96 ± 0.96 / 38.59 ± 1.39@@63.96,31.94 ± 0.08 / 35.57 ± 0.08@@31.94,17.44 ± 2.07 / 36.56 ± 1.29@@17.44,34.22 ± 1.18 / 66.08 ± 0.63@@34.22,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,<9.2.0@@0,16.10.1.dev0@@161001,15.16.0.dev0@@151600
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.33@@2.33,1.14,32759790592.0,151665.0,131072.0,✓,✗,61.60 ± 0.74 / 72.36 ± 0.53@@61.60,56.67 ± 1.46 / 40.05 ± 2.08@@56.67,23.81 ± 1.62 / 61.75 ± 0.85@@23.81,70.56 ± 1.43 / 47.79 ± 1.73@@70.56,31.85 ± 0.19 / 34.58 ± 0.29@@31.85,10.33 ± 1.45 / 32.54 ± 0.93@@10.33,40.47 ± 1.64 / 70.22 ± 0.83@@40.47,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.0.1.dev0@@160001,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.34@@2.34,10.54,?,?,400000.0,✓,✗,57.87 ± 1.55 / 67.65 ± 1.11@@57.87,37.89 ± 1.44 / 25.78 ± 0.88@@37.89,41.59 ± 2.05 / 69.91 ± 0.99@@41.59,58.49 ± 0.63 / 28.38 ± 0.64@@58.49,27.37 ± 0.17 / 32.59 ± 0.18@@27.37,16.33 ± 2.91 / 37.00 ± 2.00@@16.33,56.00 ± 1.41 / 77.93 ± 0.73@@56.00,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.34@@2.34,?,24011361280.0,131072.0,?,✓,✗,46.30 ± 2.07 / 54.15 ± 2.52@@46.30,54.69 ± 2.66 / 43.73 ± 2.84@@54.69,21.65 ± 1.83 / 47.50 ± 2.47@@21.65,72.91 ± 1.72 / 48.40 ± 3.02@@72.91,32.23 ± 0.25 / 34.92 ± 0.56@@32.23,13.38 ± 2.16 / 32.90 ± 1.58@@13.38,41.71 ± 1.65 / 69.63 ± 1.24@@41.71,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.36@@2.36,?,?,?,400000.0,✓,✗,54.08 ± 1.33 / 64.92 ± 1.06@@54.08,33.25 ± 1.36 / 22.75 ± 0.65@@33.25,45.67 ± 1.55 / 71.85 ± 0.75@@45.67,60.46 ± 0.81 / 28.17 ± 0.89@@60.46,26.87 ± 0.18 / 32.02 ± 0.18@@26.87,14.50 ± 2.33 / 34.50 ± 1.88@@14.50,54.82 ± 1.59 / 77.38 ± 0.79@@54.82,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",🤔,2.36@@2.36,?,?,256128.0,1048576.0,✓,✗,60.79 ± 2.32 / 68.67 ± 2.02@@60.79,41.53 ± 3.00 / 22.55 ± 1.25@@41.53,21.55 ± 2.78 / 52.14 ± 1.06@@21.55,62.46 ± 1.28 / 33.29 ± 1.46@@62.46,30.57 ± 0.32 / 34.46 ± 0.33@@30.57,26.84 ± 5.60 / 43.50 ± 4.09@@26.84,28.27 ± 5.65 / 63.59 ± 2.85@@28.27,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.36@@2.36,N/A,12187325040.0,262144.0,8192.0,✓,✗,51.10 ± 1.98 / 63.99 ± 1.54@@51.10,53.41 ± 1.76 / 31.55 ± 2.66@@53.41,32.25 ± 5.99 / 62.57 ± 4.39@@32.25,72.46 ± 1.40 / 53.38 ± 2.27@@72.46,23.96 ± 2.62 / 24.77 ± 2.91@@23.96,14.39 ± 2.07 / 35.26 ± 1.29@@14.39,48.98 ± 1.23 / 74.35 ± 0.63@@48.98,16.5.0.dev0@@160500,15.16.0.dev0@@151600,16.5.0.dev0@@160500,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.37@@2.37,N/A,22637328384.0,128000.0,32768.0,✓,✗,48.08 ± 3.11 / 60.13 ± 3.26@@48.08,48.08 ± 2.24 / 26.79 ± 1.97@@48.08,36.52 ± 5.59 / 56.51 ± 4.97@@36.52,71.81 ± 1.34 / 52.99 ± 2.05@@71.81,24.34 ± 2.69 / 25.00 ± 2.98@@24.34,27.83 ± 2.09 / 45.60 ± 1.66@@27.83,26.15 ± 1.02 / 62.82 ± 0.63@@26.15,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.41@@2.41,2.13,30532122624.0,151936.0,262144.0,✓,✗,60.68 ± 1.20 / 71.50 ± 0.90@@60.68,47.11 ± 1.57 / 27.07 ± 1.79@@47.11,28.73 ± 2.23 / 64.13 ± 1.11@@28.73,64.54 ± 1.61 / 40.39 ± 1.88@@64.54,31.21 ± 0.13 / 34.65 ± 0.14@@31.21,10.16 ± 2.22 / 33.40 ± 1.57@@10.16,34.91 ± 1.24 / 67.37 ± 0.61@@34.91,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.1.1.dev0@@160101,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.43@@2.43,22.33,14768307200.0,151936.0,40960.0,✓,✗,57.94 ± 1.40 / 69.44 ± 1.01@@57.94,49.90 ± 1.24 / 26.08 ± 1.39@@49.90,27.28 ± 2.06 / 63.33 ± 1.15@@27.28,70.89 ± 1.19 / 48.77 ± 1.47@@70.89,31.52 ± 0.17 / 34.81 ± 0.17@@31.52,8.20 ± 2.33 / 30.72 ± 1.66@@8.20,28.39 ± 1.16 / 63.88 ± 0.49@@28.39,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.53@@2.53,2.73,?,?,200000.0,✓,✗,59.73 ± 3.06 / 69.72 ± 2.01@@59.73,37.35 ± 3.45 / 22.52 ± 1.77@@37.35,28.46 ± 1.61 / 63.92 ± 0.88@@28.46,66.91 ± 1.21 / 35.98 ± 1.43@@66.91,28.81 ± 0.39 / 33.16 ± 0.41@@28.81,6.59 ± 5.08 / 29.83 ± 3.85@@6.59,46.69 ± 3.23 / 72.97 ± 1.70@@46.69,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.55@@2.55,0.84,14765947904.0,151665.0,131072.0,✓,✗,55.39 ± 1.52 / 67.70 ± 1.24@@55.39,51.61 ± 1.40 / 35.33 ± 1.60@@51.61,19.89 ± 1.61 / 59.76 ± 0.84@@19.89,67.42 ± 1.84 / 45.01 ± 2.58@@67.42,31.32 ± 0.15 / 34.02 ± 0.27@@31.32,8.44 ± 2.40 / 31.58 ± 1.81@@8.44,26.19 ± 1.51 / 63.07 ± 0.75@@26.19,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.0.1.dev0@@160001,15.16.0.dev0@@151600
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.55@@2.55,?,21511953984.0,201088.0,131072.0,✓,✗,58.00 ± 0.79 / 69.48 ± 0.71@@58.00,48.92 ± 1.33 / 44.09 ± 1.45@@48.92,25.16 ± 1.37 / 62.51 ± 0.68@@25.16,60.88 ± 0.95 / 38.61 ± 1.10@@60.88,26.18 ± 0.28 / 31.18 ± 0.23@@26.18,12.84 ± 1.92 / 34.92 ± 1.44@@12.84,36.94 ± 2.44 / 68.45 ± 1.22@@36.94,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.58@@2.58,N/A,31273088876.0,262144.0,8192.0,✓,✗,48.13 ± 2.74 / 61.98 ± 2.03@@48.13,52.17 ± 1.86 / 36.24 ± 1.94@@52.17,27.65 ± 2.17 / 62.85 ± 1.32@@27.65,71.88 ± 1.04 / 45.60 ± 1.65@@71.88,19.24 ± 1.24 / 19.94 ± 1.34@@19.24,18.54 ± 3.32 / 37.83 ± 2.73@@18.54,36.56 ± 2.88 / 68.16 ± 1.42@@36.56,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.59@@2.59,N/A,13945031680.0,131072.0,8192.0,✓,✗,48.56 ± 2.85 / 60.71 ± 2.34@@48.56,50.35 ± 1.94 / 38.02 ± 1.93@@50.35,9.96 ± 3.73 / 38.31 ± 1.38@@9.96,77.94 ± 0.70 / 55.98 ± 1.22@@77.94,25.80 ± 1.47 / 27.68 ± 1.69@@25.80,10.78 ± 3.09 / 33.67 ± 2.23@@10.78,42.94 ± 2.44 / 71.17 ± 1.19@@42.94,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.61@@2.61,1.64,7849978192.0,262400.0,8192.0,✓,✗,52.09 ± 1.77 / 62.78 ± 1.97@@52.09,49.41 ± 1.11 / 27.06 ± 1.89@@49.41,22.24 ± 1.60 / 59.45 ± 1.59@@22.24,61.82 ± 1.12 / 34.03 ± 2.37@@61.82,31.50 ± 0.18 / 35.03 ± 0.17@@31.50,6.53 ± 1.34 / 29.34 ± 0.99@@6.53,25.94 ± 1.70 / 62.98 ± 0.86@@25.94,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.62@@2.62,?,9653100528.0,248044.0,8192.0,✓,✗,54.10 ± 1.80 / 65.12 ± 1.46@@54.10,21.67 ± 1.84 / 14.50 ± 1.64@@21.67,28.37 ± 1.19 / 58.65 ± 0.88@@28.37,43.69 ± 1.01 / 28.80 ± 0.88@@43.69,27.76 ± 0.73 / 29.98 ± 0.87@@27.76,13.99 ± 3.45 / 35.17 ± 2.38@@13.99,70.57 ± 1.45 / 84.96 ± 0.75@@70.57,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.66@@2.66,?,4022468096.0,151936.0,262144.0,✓,✗,53.39 ± 1.13 / 66.19 ± 1.02@@53.39,53.52 ± 2.74 / 37.45 ± 2.56@@53.52,8.25 ± 1.87 / 48.34 ± 1.55@@8.25,61.40 ± 1.14 / 39.14 ± 1.44@@61.40,30.49 ± 0.20 / 33.54 ± 0.23@@30.49,8.81 ± 1.03 / 31.72 ± 0.78@@8.81,33.41 ± 2.21 / 66.68 ± 1.11@@33.41,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.16.1.dev0@@161601,16.14.0.dev0@@161400,16.14.0.dev0@@161400
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.70@@2.70,?,12163481600.0,131072.0,8192.0,✓,✗,51.58 ± 1.45 / 63.14 ± 1.01@@51.58,40.82 ± 1.67 / 25.85 ± 1.13@@40.82,17.86 ± 1.70 / 57.75 ± 0.81@@17.86,73.20 ± 1.24 / 50.22 ± 1.33@@73.20,28.32 ± 1.36 / 31.35 ± 1.64@@28.32,5.29 ± 1.73 / 29.33 ± 1.41@@5.29,30.82 ± 2.14 / 65.23 ± 1.08@@30.82,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.70@@2.70,32.72,8190735360.0,151936.0,40960.0,✓,✗,48.42 ± 1.54 / 61.39 ± 1.39@@48.42,45.33 ± 1.28 / 24.82 ± 1.32@@45.33,21.06 ± 1.33 / 60.32 ± 0.68@@21.06,68.34 ± 1.43 / 45.99 ± 1.87@@68.34,30.97 ± 0.17 / 34.30 ± 0.18@@30.97,7.54 ± 1.64 / 30.34 ± 1.32@@7.54,20.57 ± 1.81 / 59.50 ± 0.84@@20.57,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.74@@2.74,?,7415529472.0,131072.0,8192.0,✓,✗,49.90 ± 1.48 / 61.99 ± 0.97@@49.90,40.60 ± 1.37 / 22.71 ± 1.17@@40.60,23.22 ± 1.58 / 53.98 ± 1.44@@23.22,64.78 ± 1.07 / 40.24 ± 1.38@@64.78,29.37 ± 0.19 / 33.01 ± 0.20@@29.37,5.39 ± 3.10 / 28.33 ± 2.34@@5.39,23.69 ± 2.78 / 61.09 ± 1.51@@23.69,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.76@@2.76,N/A,8918026240.0,131072.0,8192.0,✓,✗,47.49 ± 1.41 / 59.38 ± 1.27@@47.49,51.35 ± 2.24 / 35.44 ± 2.38@@51.35,7.02 ± 1.86 / 35.93 ± 0.54@@7.02,77.40 ± 1.37 / 55.39 ± 2.14@@77.40,25.21 ± 1.53 / 27.15 ± 1.74@@25.21,10.25 ± 2.84 / 33.17 ± 1.99@@10.25,25.06 ± 3.29 / 61.95 ± 1.63@@25.06,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.79@@2.79,1.18,8030261248.0,128256.0,131072.0,✓,✗,56.18 ± 2.24 / 67.28 ± 1.90@@56.18,46.25 ± 1.16 / 28.08 ± 1.47@@46.25,12.77 ± 1.72 / 53.96 ± 1.49@@12.77,65.94 ± 1.50 / 42.32 ± 1.65@@65.94,30.47 ± 0.95 / 32.81 ± 1.20@@30.47,5.14 ± 2.41 / 28.34 ± 1.77@@5.14,13.94 ± 1.94 / 56.05 ± 0.96@@13.94,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.79@@2.79,N/A,9653100528.0,248044.0,8192.0,✓,✗,52.74 ± 0.85 / 49.06 ± 0.48@@52.74,54.96 ± 1.62 / 42.12 ± 1.56@@54.96,0.65 ± 0.65 / 33.95 ± 0.40@@0.65,76.00 ± 0.94 / 52.06 ± 1.21@@76.00,21.90 ± 1.09 / 22.37 ± 1.18@@21.90,4.77 ± 2.06 / 28.00 ± 1.87@@4.77,36.79 ± 2.34 / 64.45 ± 1.60@@36.79,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.80@@2.80,?,21511953984.0,201088.0,131072.0,✓,✗,47.84 ± 2.85 / 59.49 ± 3.05@@47.84,45.51 ± 1.20 / 32.00 ± 1.78@@45.51,16.76 ± 3.05 / 57.28 ± 2.11@@16.76,57.29 ± 1.11 / 31.61 ± 1.30@@57.29,25.30 ± 0.96 / 30.23 ± 0.77@@25.30,11.41 ± 2.66 / 33.84 ± 1.95@@11.41,27.08 ± 1.53 / 63.52 ± 0.77@@27.08,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.84@@2.84,0.5,4022468096.0,151936.0,262144.0,✗,✗,50.01 ± 1.46 / 63.80 ± 1.13@@50.01,49.76 ± 1.70 / 31.13 ± 1.79@@49.76,6.41 ± 1.92 / 46.11 ± 2.71@@6.41,68.78 ± 1.27 / 44.77 ± 1.54@@68.78,30.49 ± 0.29 / 33.53 ± 0.42@@30.49,5.38 ± 1.98 / 27.84 ± 1.53@@5.38,14.01 ± 1.59 / 56.79 ± 0.76@@14.01,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/mistralai/Ministral-3-8B-Reasoning-2512'>mistralai/Ministral-3-8B-Reasoning-2512</a>,🤔,2.84@@2.84,?,8918026240.0,131072.0,8192.0,✓,✗,46.08 ± 1.39 / 59.52 ± 1.25@@46.08,49.77 ± 1.66 / 25.81 ± 1.00@@49.77,12.12 ± 1.07 / 41.52 ± 1.03@@12.12,74.71 ± 0.63 / 55.75 ± 1.02@@74.71,26.62 ± 0.84 / 30.50 ± 0.85@@26.62,5.61 ± 0.90 / 30.04 ± 0.66@@5.61,16.63 ± 0.82 / 58.22 ± 0.41@@16.63,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.85@@2.85,16.38,9241705984.0,256000.0,8192.0,✗,✗,54.20 ± 3.25 / 65.38 ± 1.84@@54.20,37.10 ± 2.62 / 23.63 ± 1.58@@37.10,17.47 ± 3.07 / 53.10 ± 1.68@@17.47,68.85 ± 1.46 / 42.19 ± 1.62@@68.85,29.84 ± 0.19 / 33.19 ± 0.19@@29.84,3.55 ± 5.23 / 26.17 ± 4.30@@3.55,13.97 ± 6.81 / 56.45 ± 3.36@@13.97,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.86@@2.86,25.11,4022468096.0,151936.0,40960.0,✓,✗,45.04 ± 2.78 / 59.71 ± 2.30@@45.04,48.85 ± 1.68 / 24.82 ± 1.60@@48.85,14.32 ± 2.07 / 53.80 ± 1.48@@14.32,64.45 ± 1.36 / 41.47 ± 1.86@@64.45,30.67 ± 0.15 / 34.01 ± 0.16@@30.67,3.22 ± 1.69 / 27.10 ± 1.32@@3.22,10.61 ± 1.37 / 55.14 ± 0.69@@10.61,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.87@@2.87,16.0,8030261248.0,128256.0,131072.0,✓,✗,52.55 ± 2.47 / 65.89 ± 1.91@@52.55,51.44 ± 1.55 / 28.17 ± 1.51@@51.44,13.82 ± 1.49 / 51.42 ± 2.42@@13.82,34.43 ± 4.33 / 7.05 ± 2.03@@34.43,31.37 ± 0.32 / 33.89 ± 0.53@@31.37,10.01 ± 1.42 / 33.76 ± 1.08@@10.01,10.52 ± 2.32 / 55.05 ± 1.27@@10.52,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.87@@2.87,0.07,7996157418.0,262144.0,8192.0,✓,✗,49.61 ± 1.28 / 62.04 ± 0.92@@49.61,36.52 ± 1.51 / 25.99 ± 1.50@@36.52,14.53 ± 2.39 / 56.68 ± 1.25@@14.53,66.34 ± 0.84 / 35.16 ± 1.98@@66.34,29.77 ± 0.22 / 32.85 ± 0.21@@29.77,1.22 ± 3.16 / 26.50 ± 2.38@@1.22,27.99 ± 2.52 / 63.91 ± 1.21@@27.99,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
